gameid,team,date,gf,ga,g_plusminus,xg_plusminus,poss_value,off_the_puck,gax,gsax,xga,pass_carry_dump,faceoff_def,rookie_F,rookie_D,rookie_G,xgf,xga_target
52128,DAL,2021-10-22,3.0,2.0,1.0,1.0,-0.20814870335402802,-0.613971823189842,-0.14187302812722966,-0.06799405210002615,0.17024562572169902,-0.1668093186433857,-0.04133938471064229,0.9024390243902439,5.439024390243903,0.926829268292683,2.8756708074361086,2.252545901690614
52129,VGK,2021-10-22,3.0,5.0,-2.0,-2.0,-0.1187698026483994,-0.15980561197892695,-0.07092415914443996,-0.10632377311848352,0.16993978623917885,-0.08789838687083947,-0.030871415777559915,0.0,5.609756097560976,0.926829268292683,3.324088573572223,3.068614097486713
52130,OTT,2021-10-23,2.0,3.0,-1.0,-1.0,-0.10605876972639669,-0.23426273646066137,-0.10923372128640614,-0.12558042916847012,0.21654251383102305,-0.06772393331950469,-0.038334836406891976,0.0,5.463414634146342,1.9268292682926829,2.5232247727690242,3.7005358414026035
52131,WSH,2021-10-23,3.0,4.0,-1.0,-1.0,-0.15600606971908387,-0.03426959085899162,0.0603308983687787,-0.11143765692229377,-0.1271397687885506,-0.13426685993473128,-0.021739209784352537,0.0,5.414634146341464,1.9024390243902438,3.08208083454519,2.580377167440016
52132,MIN,2021-10-23,4.0,3.0,1.0,1.0,-0.06564836295151913,0.17891412391610642,-0.01107100573872935,-0.1424908129418621,-0.22412525312935866,-0.05197379726429853,-0.013674565687220579,0.0,5.560975609756098,0.926829268292683,3.3376995609141873,2.239375642850065
52133,WPG,2021-10-23,6.0,4.0,2.0,2.0,-0.21763381973935092,-0.29168131217512533,0.089462521749597,-0.09903073202213268,0.11339594440706752,-0.16771192314833855,-0.04992189659101234,0.0,6.365853658536586,0.9024390243902439,2.898997222771864,4.058575888979252
52134,MTL,2021-10-23,6.0,1.0,5.0,5.0,-0.18869499596380845,-0.310949049274001,-0.24626548281894656,-0.06934478627609411,0.19605071166067514,-0.15429225543218056,-0.03440274053162788,0.0,5.390243902439025,0.9024390243902439,4.078604770242233,2.863557187258263
52135,TBL,2021-10-23,3.0,3.0,0.0,0.0,-0.11173100401114167,0.03231584919385483,-0.09302916158734988,-0.0793067726821503,0.1570149479470589,-0.08918935400059404,-0.022541650010547618,0.0,5.439024390243903,0.9024390243902439,2.879885480157097,3.517236387240703
52136,NJD,2021-10-23,2.0,1.0,1.0,1.0,-0.14890060055179566,-0.23653088018689536,-0.08594708745756877,-0.11834373338635562,-0.02567150170250521,-0.1342511255772257,-0.014649474974569926,0.0,5.658536585365853,1.0,2.394191008876077,2.2615424504037906
52137,PHI,2021-10-23,2.0,4.0,-2.0,-2.0,-0.14551107284728396,-0.29687971190742085,0.0963174406098697,-0.08816938206218822,-0.051977253644094425,-0.11854858132255243,-0.026962491524731496,0.0,5.634146341463415,0.9512195121951219,2.694044818170372,2.638703035889189
52138,PIT,2021-10-23,7.0,1.0,6.0,6.0,-0.10686374925558424,-0.10815118449887098,-0.0012264145193377103,-0.015596256611623421,-0.247865348311877,-0.08202544962297312,-0.024838299632611107,0.0,5.51219512195122,0.926829268292683,2.9621258361730707,2.4585387080442143
52139,CBJ,2021-10-23,1.0,5.0,-4.0,-4.0,-0.14571780481480207,-0.2517292275225483,0.026574001547797314,-0.0917720640619143,0.16688403734266954,-0.10883059539101085,-0.03688720942379119,0.0,5.439024390243903,0.975609756097561,1.8071979290107225,3.015208196360618
52140,STL,2021-10-23,7.0,3.0,4.0,4.0,-0.07313807360464179,0.07788468445412847,0.04196200915966243,0.0006271940722630542,0.21441286719937983,-0.04533177683571343,-0.027806296768928342,0.0,5.560975609756098,0.926829268292683,3.9177926925476614,3.399788787006404
52141,ARI,2021-10-23,0.0,3.0,-3.0,-3.0,-0.16505562452782072,-0.09119508757991203,-0.1831361176844295,-0.05317196816950656,0.10305384673293905,-0.11168155236421842,-0.05337407216360225,0.0,5.439024390243903,0.926829268292683,1.3339090510271525,1.9513763788854752
52142,BOS,2021-10-24,4.0,3.0,1.0,1.0,-0.11796779232909811,-0.06611577666249671,-0.014550978676579757,-0.08537465432289681,-0.04129267987472588,-0.09912550272655447,-0.018842289602543614,0.0,5.585365853658537,0.975609756097561,2.8733609524788375,2.259433599887413
52143,MIN,2021-10-24,2.0,5.0,-3.0,-3.0,-0.0496369286495226,0.31602074158442356,0.0001984102893888874,-0.11834373338635562,-0.30203179104796096,-0.03574952424108462,-0.013887404408437946,0.0,5.414634146341464,1.0,3.078640358522538,3.537316518486474
52144,CHI,2021-10-24,3.0,6.0,-3.0,-3.0,-0.13229292584220267,0.040779115766325535,-0.15715274558237632,-0.2594831373898032,0.09732505901664934,-0.09792249750185708,-0.034370428340345545,0.0,5.390243902439025,0.926829268292683,4.28582969377748,4.685455688741054
